time_offset,timestamp,revs,distance
318.3990,1678386004.3990,1500,3105.0000
318.5986,1678386004.5986,1501,3107.0700
318.7981,1678386004.7981,1502,3109.1400
318.9976,1678386004.9976,1503,3111.2100
319.1971,1678386005.1971,1504,3113.2800
319.2037,1678386005.2037,1505,3115.3500
319.4074,1678386005.4074,1506,3117.4200
319.6111,1678386005.6111,1507,3119.4900
319.8148,1678386005.8148,1508,3121.5600
320.0186,1678386006.0186,1509,3123.6300
320.1740,1678386006.1740,1510,3125.7000
320.3480,1678386006.3480,1511,3127.7700
320.5219,1678386006.5219,1512,3129.8400
320.6959,1678386006.6959,1513,3131.9100
320.8699,1678386006.8699,1514,3133.9800
321.0439,1678386007.0439,1515,3136.0500
321.2181,1678386007.2181,1516,3138.1200
321.4362,1678386007.4362,1517,3140.1900
321.6543,1678386007.6543,1518,3142.2600
321.8724,1678386007.8724,1519,3144.3300
322.0905,1678386008.0905,1520,3146.4000
322.2081,1678386008.2081,1521,3148.4700
322.4162,1678386008.4162,1522,3150.5400
322.6243,1678386008.6243,1523,3152.6100
322.8325,1678386008.8325,1524,3154.6800
323.0406,1678386009.0406,1525,3156.7500
323.1920,1678386009.1920,1526,3158.8200
323.3841,1678386009.3841,1527,3160.8900
323.5761,1678386009.5761,1528,3162.9600
323.7682,1678386009.7682,1529,3165.0300
323.9602,1678386009.9602,1530,3167.1000
324.1522,1678386010.1522,1531,3169.1700
324.3462,1678386010.3462,1532,3171.2400
324.6924,1678386010.6924,1533,3173.3100
325.0386,1678386011.0386,1534,3175.3800
325.3534,1678386011.3534,1535,3177.4500
325.7068,1678386011.7068,1536,3179.5200
326.0601,1678386012.0601,1537,3181.5900
326.6862,1678386012.6862,1538,3183.6600
327.3725,1678386013.3725,1539,3185.7300
327.7135,1678386013.7135,1540,3187.8000
328.4270,1678386014.4270,1541,3189.8700
329.4070,1678386015.4070,1542,3191.9400
329.8140,1678386015.8140,1543,3194.0100
330.2210,1678386016.2210,1544,3196.0800
331.5951,1678386017.5951,1545,3198.1500
332.1901,1678386018.1901,1546,3200.2200
336.8946,1678386022.8946,1547,3202.2900
337.7893,1678386023.7893,1548,3204.3600
339.6435,1678386025.6435,1549,3206.4300
340.2870,1678386026.2870,1550,3208.5000
340.4510,1678386026.4510,1551,3210.5700
340.9020,1678386026.9020,1552,3212.6400
341.3530,1678386027.3530,1553,3214.7100
341.3170,1678386027.3170,1554,3216.7800
341.6340,1678386027.6340,1555,3218.8500
341.9510,1678386027.9510,1556,3220.9200
342.2679,1678386028.2679,1557,3222.9900
342.3034,1678386028.3034,1558,3225.0600
342.6068,1678386028.6068,1559,3227.1300
342.9102,1678386028.9102,1560,3229.2000
343.2136,1678386029.2136,1561,3231.2700
343.2696,1678386029.2696,1562,3233.3400
343.5391,1678386029.5391,1563,3235.4100
